Languages,Arabic,5,This is my mother tongue. I can speak Syrian and Egyptian dialect and understand all other dialects.
,English,5,
,Japanese,3,????????
,Spanish,1,Hablo un poco espanol. 
Coding,C++,2,I have done some courses online and a few tiny projects using C++
,CSS,2,This website!
,HTML,2,This website too.
,NodeJS,0,Want to learn
Tools,Blender ,1,"I have tried learning, didn't go that far but am planning on revisiting it soon."
,Fusion 360,3,I have 2 years experience using the software. I still have a lot to learn tho.
,Inkscape ,2,Familiar
